"","X","doi","article","model","sample_size","study_type","model_type","auc","auc_ci_low","auc_ci_upper","sens","sens_ci_lower","sens_ci_upper","spec","spec_ci_lower","spec_ci_upper","roc","roc_colour","roc_panel","exclude"
"4178",5285,"10_3389_fmed_2025_1607734",3,3,175,"internal validation","diagnostic",0.904,NA,NA,75,NA,NA,66.34,NA,NA,"yes",NA,"Figure 2C","no"
"5801",7335,"10_1007_s10120-025-01628-4",2,6,74,"internal validation","prognostic",0.778,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4D","no"
"7625",9723,"10_1016_j_ijmedinf_2025_106018",3,12,814,"internal validation","prognostic",0.7,0.6,0.78,46,31,62,87,84,90,"yes","could not determine","Figure 4A","no"
"89",135,"10_1016_j_intimp_2025_114935",5,11,41,"development","diagnostic",0.9786,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"1658",2164,"10_1097_js9_0000000000002677",3,9,70,"external validation","diagnostic",0.913,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4148",5255,"10_3389_fmed_2025_1606336",1,11,1582,"development","diagnostic",0.996,0.991,0.999,NA,NA,NA,99.3,NA,NA,"yes",NA,"Figure 5","no"
"2990",3907,"10_2147_clep_s566997",3,16,689,"external validation","prognostic",0.601,0.531,0.671,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"553",779,"10_1016_j_numecd_2025_104065",3,6,6096,"internal validation","diagnostic",0.74,0.73,0.76,61,NA,NA,76,NA,NA,"yes","green","Figure 1B","no"
"3506",4493,"10_3389_fcvm_2025_1688931",5,5,50,"development","diagnostic",0.938,0.856,0.994,84,NA,NA,92,NA,NA,"yes","could not determine","Figure 5","no"
"6193",7776,"10_1007_s12072-025-10936-x",4,22,2017,"development","prognostic",0.854,0.829,0.879,83.9,NA,NA,71.6,NA,NA,"yes","could not determine","Figure 3a","no"
"7193",9180,"10_1016_j_ejrad_2025_111989",1,3,448,"internal validation","diagnostic",0.926,0.896,0.956,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2A","no"
"3132",4056,"10_2147_jaa_s512405",5,5,228,"development","prognostic",0.8272,NA,NA,53.23,NA,NA,88.79,NA,NA,"yes","green","Figure 2","no"
"2687",3523,"10_1186_s13550-025-01293-9",4,2,146,"development","diagnostic",0.84,0.69,0.99,73,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4c","no"
"475",680,"10_1016_j_jss_2025_03_069",5,2,1079441,"development","prognostic",0.744,0.734,0.753,89,NA,NA,38.3,NA,NA,"yes","could not determine","Supplement 5","no"
"7346",9374,"10_1016_j_ejrad_2025_112562",3,11,320,"development","diagnostic",0.814,0.769,0.96,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4C","no"
"3209",4142,"10_2147_tcrm_s504745",5,18,68,"internal validation","prognostic",0.853,0.752,0.955,67.9,NA,NA,82.8,NA,NA,"yes","could not determine","Figure 4B","no"
"3165",4097,"10_2147_nss_s502204",3,1,108,"development","diagnostic",0.805,0.723,0.887,68.5,NA,NA,83.3,NA,NA,"yes","red","Figure 2","no"
"923",1264,"10_1016_j_tox_2025_154064",1,20,120,"external validation","diagnostic",0.8759,NA,NA,70,NA,NA,80,NA,NA,"yes","purple","Figure 2B","no"
"748",1042,"10_1016_j_resuscitation_2025_110775",5,6,NA,"development","prognostic",0.949,0.947,0.951,70,65,73,NA,NA,NA,"yes","could not determine","Figure 3","no"
"3664",4743,"10_3389_fendo_2025_1593068",1,23,3000,"development","diagnostic",0.927,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"6671",8348,"10_1016_j_aucc_2025_101230",1,7,304,"internal validation","prognostic",0.79,0.74,0.85,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3C","no"
"5669",7150,"10_1007_s00535-025-02250-y",1,4,110,"development","diagnostic",0.87,0.805,0.936,94.5,NA,NA,65.5,NA,NA,"yes",NA,"Figure 3B","no"
"7461",9525,"10_1016_j_exger_2025_112784",2,2,195,"development","diagnostic",0.972,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1","no"
"6138",7720,"10_1007_s12035-025-04931-4",2,5,79,"development","diagnostic",0.896,0.843,0.95,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 11D","no"
"5918",7455,"10_1007_s10151-025-03139-x",5,3,126,"development","diagnostic",0.874,0.815,0.933,89.5,NA,NA,72.7,NA,NA,"yes","could not determine","Figure 3","no"
"2449",3273,"10_1186_s13040-025-00459-4",3,1,159779,"development","diagnostic",0.9988,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3A","no"
"4043",5150,"10_3389_fmed_2025_1571406",1,12,50,"development","diagnostic",0.889,0.802,0.976,69.6,NA,NA,92.6,NA,NA,"yes",NA,"Figure 1B","no"
"5782",7316,"10_1007_s10120-025-01614-w",1,17,311,"internal validation","prognostic",0.745,0.731,0.756,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2e","no"
"3716",4795,"10_3389_fendo_2025_1585818",5,3,170,"development","prognostic",0.52,0.427,0.613,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2","no"
"773",1067,"10_1016_j_shaw_2025_01_003",3,3,7270,"development","diagnostic",0.73,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4","no"
"936",1277,"10_1016_j_tox_2025_154237",2,13,247,"development","diagnostic",0.952,NA,NA,91.4,NA,NA,76.2,NA,NA,"yes","could not determine","Figure 2B","no"
"2712",3548,"10_1186_s40644-025-00873-1",1,14,30,"development","diagnostic",0.63,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6D","no"
"1602",2107,"10_1097_ijg_0000000000002596",1,14,54,"development","diagnostic",0.86,NA,NA,87,NA,NA,NA,NA,NA,"yes",NA,"Figure 5D","no"
"5472",6915,"10_23736_s1973-9087_25_08784-2",5,5,62,"development","diagnostic",0.56,NA,NA,83.9,NA,NA,29,NA,NA,"yes","could not determine","Figure 3E","no"
"2731",3567,"10_1186_s40644-025-00875-z",2,19,312,"development","diagnostic",0.856,0.807,0.905,78.5,NA,NA,80.3,NA,NA,"yes","could not determine","Figure 5d","no"
"1017",1376,"10_1016_j_urolonc_2024_12_274",4,3,625,"development","prognostic",0.804,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 5C","no"
"2719",3555,"10_1186_s40644-025-00875-z",2,7,312,"development","diagnostic",0.893,0.857,0.929,81,NA,NA,85,NA,NA,"yes","could not determine","Figure 5d","no"
"7654",9785,"10_1016_j_ijom_2025_03_003",2,1,435,"internal validation","diagnostic",0.91,NA,NA,89.7,89.1,90.2,94.2,93.8,94.6,"yes","orange","Figure 2 Class II panel","no"
"2384",3200,"10_1186_s12912-025-04157-8",3,1,329,"development","diagnostic",0.742,0.686,0.798,94.7,NA,NA,53.3,NA,NA,"yes","could not determine","Figure 1","no"
"4582",5749,"10_3389_fnut_2025_1589898",2,2,6762,"development","diagnostic",0.57,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 3","no"
"5143",6435,"10_3390_cancers18010152",1,7,104,"development","diagnostic",0.849,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6A","no"
"4824",5997,"10_3389_fphar_2025_1719479",2,5,70,"internal validation","prognostic",0.75,NA,NA,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 5","no"
"3617",4696,"10_3389_fendo_2025_1568665",2,6,132,"development","prognostic",0.734,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7A (nomogram BRFS 5-year)","no"
"6139",7721,"10_1007_s12035-025-04931-4",2,6,48,"external validation","diagnostic",0.85,0.655,1,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 11E","no"
"7586",9684,"10_1016_j_ijmedinf_2025_105916",1,6,534,"development","prognostic",0.743,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure S3A","no"
"7383",9411,"10_1016_j_ejso_2025_109718",5,1,688,"development","prognostic",0.742,0.683,0.801,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1","no"
"5810",7344,"10_1007_s10143-025-03194-w",3,8,82,"development","prognostic",0.76,0.66,0.86,89.3,NA,NA,53.7,NA,NA,"yes","green","Figure 3","no"
"2620",3447,"10_1007_s00261-025-04873-4",3,13,545,"development","prognostic",0.924,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4","no"
"7108",9023,"10_1016_j_dld_2025_06_025",3,1,70,"development","diagnostic",0.95,0.88,0.99,55,45,65,89,81,94,"yes","orange","Figure 3","no"
"5748",7261,"10_1007_s00784-025-06677-8",2,5,247,"external validation","diagnostic",0.883,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2e (GSE10334 lower panel)","no"
"6223",7806,"10_1002_dad2_70229",4,14,5149,"development","prognostic",0.68,0.54,0.82,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3E","no"
"7020",8903,"10_1016_j_compbiomed_2025_111084",2,4,3440,"external validation","prognostic",0.851,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 4 Site 4","no"
"4155",5262,"10_3389_fmed_2025_1606336",1,18,1582,"development","diagnostic",0.987,0.985,0.99,NA,NA,NA,97.2,NA,NA,"yes",NA,"Figure 6","no"
"3404",4383,"10_3389_fcvm_2025_1602492",2,1,586,"development","diagnostic",0.729,0.689,0.77,61.8,NA,NA,72,NA,NA,"yes","blue","Figure 3C","no"
"3888",4994,"10_3389_fmed_2025_1515940",3,3,2095,"development","prognostic",0.553,0.531,0.574,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3","no"
"4566",5733,"10_3389_fnut_2025_1560655",5,23,525,"development","prognostic",0.66,0.599,0.721,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3F","no"
"2288",3074,"10_1007_s00259-025-07486-7",3,1,63,"development","diagnostic",0.87,0.8,0.94,70.3,NA,NA,96.8,NA,NA,"yes","could not determine","Figure 3","no"
"3743",4822,"10_3389_fendo_2025_1655828",1,8,83,"internal validation","diagnostic",0.758,0.657,0.859,82,NA,NA,61,NA,NA,"yes","red","Figure 2B","no"
"2903",3767,"10_1245_s10434-025-17809-5",5,1,286,"development","diagnostic",0.896,0.226,0.924,NA,NA,NA,NA,NA,NA,"yes",NA,"could not determine","no"
"7296",9297,"10_1016_j_ejrad_2025_112199",4,6,99,"external validation","diagnostic",0.8,0.71,0.9,75,NA,NA,77,NA,NA,"yes","red","Figure 4b","no"
"3691",4770,"10_3389_fendo_2025_1593917",2,14,5584,"development","prognostic",0.71,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"2339",3136,"10_1177_21925682251366947",3,5,20,"development","prognostic",0.762,0.544,0.98,66.7,NA,NA,71.4,NA,NA,"yes","green","Figure 5","no"
"1036",1399,"10_1016_s2213-8587_25_00053-1",1,6,158,"external validation","diagnostic",0.91,0.87,0.96,86,77,93,87,79,93,"yes","blue","Figure 4D","no"
"6010",7564,"10_1007_s11547-025-01949-5",2,31,513,"development","diagnostic",1,1,1,100,NA,NA,100,NA,NA,"yes","could not determine","Figure 4a","no"
"1699",2205,"10_1097_js9_0000000000002101",5,6,65,"development","diagnostic",0.891,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"940",1281,"10_1016_j_tranon_2025_102281",3,2,324,"development","prognostic",0.941,0.896,0.957,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"6887",8649,"10_1016_j_clinph_2025_03_007",4,6,118,"development","diagnostic",0.68,0.57,0.77,52.3,NA,NA,79.7,NA,NA,"yes","green","Figure 2B","no"
"5269",6595,"10_3390_jcm14186452",3,1,73,"development","prognostic",0.732,0.616,0.848,NA,NA,NA,NA,NA,NA,"yes","red","Figure 3","no"
"3845",4947,"10_3389_fendo_2025_1695573",5,8,254,"development","diagnostic",0.773,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1","no"
"5573",7017,"10_1016_j_radonc_2025_110913",1,1,343,"development","prognostic",0.77,0.72,0.82,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure S3A","no"
"1416",1834,"10_1080_07853890_2025_2573150",5,1,60,"development","prognostic",0.804,NA,NA,95,NA,NA,67.5,NA,NA,"yes","could not determine","Figure 2A","no"
"5749",7262,"10_1007_s00784-025-06677-8",2,6,247,"external validation","diagnostic",0.89,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2e (GSE10334 lower panel)","no"
"5882",7416,"10_1002_ccs3_70047",1,7,197,"development","diagnostic",0.998,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2B","no"
"5339",6745,"10_5114_wo_2025_151064",1,3,183,"development","diagnostic",0.617,0.537,0.698,NA,NA,NA,NA,NA,NA,"yes","purple","Figure 2","no"
"6878",8640,"10_1016_j_clnu_2025_02_023",3,9,166,"development","diagnostic",0.731,0.656,0.807,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 4B","no"
"7159",9144,"10_1016_j_ejim_2025_01_020",4,5,314,"development","prognostic",0.76,0.704,0.812,47,37.5,56.7,61.6,51.2,72.6,"yes","could not determine","Figure 1","no"
"3578",4650,"10_1007_s00330-025-11640-y",5,15,174,"development","diagnostic",0.71,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"6629",8265,"10_1016_j_anireprosci_2025_108011",5,10,20,"development","diagnostic",1,NA,NA,100,NA,NA,100,NA,NA,"yes","could not determine","Figure 3","no"
"1120",1491,"10_1038_s41380-025-03192-w",5,6,39,"development","diagnostic",0.69,0.48,0.89,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4A","no"
"6298",7885,"10_1007_s40120-025-00716-y",4,6,30,"internal validation","prognostic",0.9,NA,NA,87.5,NA,NA,85.7,NA,NA,"yes","could not determine","Figure 3C","no"
"280",430,"10_1016_j_jhazmat_2025_138411",2,4,384,"development","diagnostic",0.853,NA,NA,49.74,NA,NA,93.03,NA,NA,"yes","could not determine","Figure 4b","no"
"3616",4695,"10_3389_fendo_2025_1568665",2,5,132,"development","prognostic",0.725,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7A (nomogram BRFS 4-year)","no"
"900",1231,"10_1007_s00062-025-01593-6",3,2,41,"development","diagnostic",0.864,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 8","no"
"4809",5982,"10_3389_fphar_2025_1576467",4,7,192,"development","diagnostic",0.9,0.849,0.945,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3E","no"
"6649",8311,"10_1002_hed_28172",5,2,670,"development","prognostic",0.703,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"3912",5019,"10_3389_fmed_2025_1516207",4,1,318,"development","diagnostic",0.651,0.568,0.733,40,NA,NA,90.1,NA,NA,"yes","green","Figure 2","no"
"6552",8171,"10_1016_j_ajo_2025_07_026",5,16,120,"development","prognostic",1,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"4688",5860,"10_3389_fnut_2025_1660842",5,9,22801,"development","prognostic",0.842,0.833,0.851,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"759",1053,"10_1016_j_scitotenv_2025_180003",1,11,391,"internal validation","diagnostic",0.902,0.88,0.924,82,NA,NA,83,NA,NA,"yes","could not determine","Figure 4D","no"
"3305",4264,"10_3174_ajnr_a8432",5,15,80,"development","diagnostic",0.93,0.87,1,97.7,NA,NA,75.7,NA,NA,"yes",NA,"Figure 4A","no"
"2666",3493,"10_1007_s00259-025-07603-6",5,38,163,"development","diagnostic",0.829,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4c","no"
"6601",8220,"10_1016_j_ajo_2025_07_026",5,65,347,"development","prognostic",0.84,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"624",855,"10_1002_mp_17882",5,5,233,"development","diagnostic",0.891,0.85,0.933,75.7,NA,NA,89.3,NA,NA,"yes",NA,"Figure 3C","no"
"3246",4190,"10_2340_17453674_2025_44328",2,1,98,"development","prognostic",0.56,0.4,0.73,13,NA,NA,86,NA,NA,"yes","purple","Figure 5","no"
"1418",1847,"10_1080_13696998_2025_2494459",3,1,10374,"development","prognostic",0.9078,0.8975,0.9186,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3","no"
"2573",3400,"10_1186_s13244-025-02045-y",4,9,59,"external validation","diagnostic",0.868,0.768,0.98,97.6,93.7,1.015,64.7,52.5,76.9,"yes","could not determine","Figure 5c","no"
"937",1278,"10_1016_j_tox_2025_154237",2,14,247,"development","diagnostic",0.905,NA,NA,91.4,NA,NA,75.6,NA,NA,"yes","could not determine","Figure 2B","no"
"6181",7764,"10_1007_s12072-025-10936-x",4,10,2017,"development","prognostic",0.897,0.875,0.918,83.1,NA,NA,81.6,NA,NA,"yes","could not determine","Figure 3a","no"
"5996",7550,"10_1007_s11547-025-01949-5",2,17,129,"internal validation","diagnostic",0.92,0.899,0.941,90.1,NA,NA,62.8,NA,NA,"yes","could not determine","Figure 5b","no"
"263",367,"10_1016_j_jep_2025_120451",2,10,69852,"development","diagnostic",0.9812,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 9","no"
"6591",8210,"10_1016_j_ajo_2025_07_026",5,55,347,"development","prognostic",0.84,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"1361",1779,"10_1080_07853890_2025_2561224",2,8,NA,"development","diagnostic",0.7887,0.6648,0.9126,86,NA,NA,59,NA,NA,"yes","could not determine","Figure 3A","no"
"4929",6189,"10_1007_s00404-024-07901-8",3,9,385,"external validation","diagnostic",0.941,0.917,0.961,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"1678",2184,"10_1097_js9_0000000000002077",4,2,23,"external validation","diagnostic",0.6,0.577,0.623,NA,NA,NA,NA,NA,NA,"yes","red","Figure 3B","no"
"1635",2140,"10_1097_hjh_0000000000004034",5,10,877,"external validation","diagnostic",0.66,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3a","no"
"5909",7446,"10_1007_s10238-025-01670-7",3,2,65,"development","prognostic",0.83,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"3550",4612,"10_3389_fendo_2025_1514093",5,1,904,"development","diagnostic",0.572,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4","no"
"2946",3826,"10_2106_jbjs_24_01601",1,10,1024,"development","diagnostic",0.917,0.834,0.979,63,44.1,80.8,99.2,97.7,100,"yes","could not determine","Figure 2A","no"
"1058",1429,"10_1037_lhb0000641",2,3,16484,"external validation","prognostic",0.76,0.74,0.78,NA,NA,NA,NA,NA,NA,"yes",NA,"Appendix I","no"
"1746",2260,"10_1097_js9_0000000000002805",2,13,4765,"internal validation","prognostic",0.714,0.686,0.742,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3E","no"
"2504",3331,"10_1186_s13244-024-01874-7",1,14,133,"external validation","diagnostic",0.945,0.902,0.988,96.3,NA,NA,75,NA,NA,"yes","solid","Figure 4B","no"
"4958",6218,"10_3390_biomedicines13010141",4,1,40,"development","diagnostic",0.9851,NA,NA,75.12,NA,NA,98.79,NA,NA,"yes",NA,"could not determine","no"
"2443",3259,"10_1186_s13040-025-00431-2",1,2,256,"development","prognostic",0.9698,0.9542,0.9826,92.61,88.79,96.04,90.15,NA,NA,"yes","green","Figure 4","no"
"6770",8524,"10_1016_j_cca_2025_120246",3,12,44,"internal validation","diagnostic",0.862,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 4F","no"
"7568",9666,"10_1016_j_ijmedinf_2025_105793",1,5,33,"external validation","diagnostic",0.881,0.72,0.967,45,23.8,68,92.3,62.1,99.6,"yes","orange","Figure 4a","no"
"4670",5841,"10_3389_fnut_2025_1667055",3,3,257,"internal validation","diagnostic",0.801,NA,NA,79.4,NA,NA,64.7,NA,NA,"yes","could not determine","Figure 3B","no"
"6239",7826,"10_1007_s13167-025-00412-9",4,8,6587,"external validation","diagnostic",0.838,0.78,0.89,90.4,NA,NA,64.7,NA,NA,"yes","could not determine","Figure 2c","no"
"6508",8125,"10_1016_j_ajo_2025_08_035",1,5,84,"internal validation","diagnostic",0.976,NA,NA,91.7,64.6,98.5,92.3,81.8,97,"yes","could not determine","Figure 6","no"
"109",155,"10_1016_j_jaci_2025_09_020",4,1,139826,"development","prognostic",0.644,0.643,0.647,61.5,61.2,61.8,58.1,57.9,58.4,"yes","could not determine","Figure 4A","no"
"4361",5487,"10_3389_fmed_2025_1653699",5,1,592,"development","prognostic",0.783,0.746,0.82,65.2,NA,NA,79.7,NA,NA,"yes","red","Figure 4","no"
"6242",7829,"10_1007_s13167-025-00412-9",4,11,421,"external validation","diagnostic",0.547,0.458,0.632,22.1,NA,NA,92.3,NA,NA,"yes","could not determine","Figure 2d","no"
"793",1087,"10_1016_j_shaw_2025_08_006",4,4,1205,"development","diagnostic",0.91,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 3","no"
"4833",6054,"10_3389_fpsyt_2025_1557659",3,4,156,"development","diagnostic",0.842,0.782,0.901,75.3,NA,NA,81,NA,NA,"yes",NA,"Figure 3","no"
"5311",6707,"10_3390_ph18070975",2,8,4289,"development","diagnostic",0.9143,NA,NA,NA,NA,NA,NA,NA,NA,"yes","olive","Figure 2","no"
"2139",2840,"10_1128_jcm_01053-24",1,8,189,"internal validation","diagnostic",0.795,0.723,0.868,38.1,NA,NA,99.2,NA,NA,"yes","could not determine","could not determine","no"
"46",89,"10_1016_j_intimp_2025_114317",1,2,126,"internal validation","prognostic",0.871,0.769,0.972,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3F","no"
"2260",3023,"10_1177_10731911251389197",1,13,111,"development","diagnostic",0.86,0.79,0.92,78,NA,NA,72,NA,NA,"yes","could not determine","Figure 3 panel 1 (Dementia vs MCI)","no"
"6149",7732,"10_1007_s12519-025-00973-9",2,1,438,"development","prognostic",0.724,0.646,0.802,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3a","no"
"3214",4147,"10_2196_63352",1,5,270,"internal validation","diagnostic",0.71,NA,NA,90,NA,NA,29,NA,NA,"yes","orange dashed","Figure 1","no"
"6400",8001,"10_1016_j_acra_2025_02_046",5,6,95,"external validation","prognostic",0.712,0.564,0.861,61.5,NA,NA,76,NA,NA,"yes","dotted navy","Figure 7c","no"
"2232",2973,"10_1177_0271678x251361254",5,3,62,"development","prognostic",0.85,NA,NA,92,NA,NA,70,NA,NA,"yes","thick gray","Figure 6","no"
"2221",2962,"10_1177_00220345251316514",2,2,614,"development","diagnostic",0.56,NA,NA,70,NA,NA,NA,NA,NA,"yes","could not determine","Appendix Figure 5","no"
"5685",7166,"10_1007_s00535-025-02223-1",4,8,478,"development","diagnostic",0.7,0.65,0.75,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 4","no"
"790",1084,"10_1016_j_shaw_2025_08_006",4,1,1205,"development","diagnostic",0.904,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3","no"
"4205",5312,"10_3389_fmed_2025_1615136",2,10,191,"development","diagnostic",0.754,0.686,0.813,90.79,NA,NA,61.54,NA,NA,"yes","could not determine","Figure 4","no"
"4689",5861,"10_3389_fnut_2025_1660842",5,10,22801,"development","prognostic",0.835,0.826,0.844,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"3468",4449,"10_3389_fcvm_2025_1652467",3,7,123,"development","diagnostic",0.748,0.661,0.839,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 13","no"
"1379",1797,"10_1080_07853890_2025_2550582",5,5,3641,"development","diagnostic",0.8572,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4A","no"
"7739",9895,"10_1002_ana_78066",4,7,407,"development","diagnostic",0.85,0.82,0.89,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2F","no"
